nbagameid,off_team,O_rank_1,O_rank_2,O_rank_3,O_rank_4,O_rank_5,O_rank_6,O_rank_7,O_rank_8,O_rank_9,O_rank_10,O_rank_11,off_home,Oefg,OTORatio,O_reb_perc,OFTRate,O_west_conference,O_win,O_rank,Defg,DTORatio,D_reb_perc,DFTRate,D_west_conference,D_rank,def_team,D_rank_1,D_rank_2,D_rank_3,D_rank_4,D_rank_5,D_rank_6,D_rank_7,D_rank_8,D_rank_9,D_rank_10,D_rank_11
22300234,OKC,0.744843,0.63433333,0.52031951,0,0.58316532,0.54010695,0.58124553,0.2632287,0,0.58435544,0.3030935,1,0.56666667,0.15053763,0.31707317,0.41333333,1,1,0,0.54166667,0.13131313,0.24528302,0.0625,1,0.07142857,DEN,0.67099567,0.68382302,0.71204367,0.77616192,0,0.74549533,0.65473916,0.24098791,0,0.10434361,0.18072714
22300239,OKC,0.73434272,0.62933333,0.46758744,0,0.51586022,0.31100076,0.54939155,0.49380351,0,0.47167292,0.53868613,1,0.52040816,0.04123711,0.32142857,0.21428571,1,0,0,0.37765957,0.15463918,0.3030303,0.15957447,1,0.07142857,DEN,0.78107607,0.77352921,0.80249062,0.77450558,0,0.56635514,0.56932403,0.12156245,0.27907656,0.09261506,0.1245676
22300252,DEN,0.69403516,0.65633333,0.59987907,0,0,0.64648587,0.52755906,0.52853649,0.61552286,0.02753442,0.39103233,1,0.62921348,0.19417476,0.34883721,0.2247191,1,1,0.07142857,0.47222222,0.1010101,0.21818182,0.2,1,0,OKC,0.62987013,0.70427867,0.51340839,0.6767814,0.62389528,0.37383178,0.52479794,0.34643545,0,0.37130955,0.2345923
22300263,DEN,0.67642177,0.6744,0.60194762,0,0.44959677,0.54430863,0.3984252,0,0.59702722,0.45890697,0.27685089,1,0.60526316,0.04444444,0.44,0.2,1,1,0.07142857,0.66463415,0.16,0.21052632,0.18292683,1,0,OKC,0.66697588,0.52198375,0.66591607,0.63073508,0.70369412,0.42691589,0.47619398,0.22700998,0,0,0
22300271,OKC,0.70792264,0.56453333,0.53537218,0.61207078,0.4219422,0.50370512,0.4234073,0.30688952,0,0.46950355,0.15467501,1,0.60638298,0.08737864,0.2,0.20212766,1,1,0,0.54545455,0.18627451,0.2745098,0.13636364,1,0.07142857,DEN,0.64687693,0.59936098,0.71374957,0.60092093,0.75039752,0.48624299,0.41201323,0.38069714,0,0.31626628,0.11507236
22300340,DEN,0.75940792,0.64783333,0,0.69096271,0.55376344,0.49694423,0.54509664,0.39849164,0.56947096,0,0.30691693,1,0.51612903,0.09278351,0.32692308,0.22580645,1,0,0.07142857,0.53448276,0.17142857,0.18367347,0.17241379,1,0,OKC,0.66481138,0.63863999,0.79232344,0.69569682,0.6279259,0.42201869,0.49059515,0.2415134,0,0,0
22300355,OKC,0.57616096,0.497,0.40575375,0.59742996,0.47883065,0.38517953,0.41803865,0.28699552,0,0.38756779,0.19186653,1,0.51630435,0.11538462,0.21153846,0.22826087,1,1,0,0.66477273,0.13829787,0.33333333,0.125,1,0.07142857,DEN,0.55349412,0.51295409,0.61071307,0.45814423,0.66301816,0.49345794,0.4665687,0.45401997,0.07269141,0.35954056,0.16025415
22300053,BOS,0.72079396,0.56853333,0.662572,0.69728249,0.46034946,0.47478992,0.60808876,0,0.43651953,0,0,1,0.63888889,0.16666667,0.35555556,0.1,0,1,0,0.47590361,0.09278351,0.26415094,0.42168675,0,0.42857143,PHI,0.72875696,0.78523303,0,0.52406665,0,0,0.26891991,0,0.57714787,0.12820513,0.75644193
22300080,BOS,0.84070047,0.72733333,0.63997709,0.76644899,0.26209677,0.23376623,0.52916965,0.73766816,0,0,0.29266597,1,0.55789474,0.15306122,0.38181818,0.13684211,0,1,0,0.5625,0.17346939,0.42222222,0.30681818,0,0.42857143,PHI,0.7469697,0.79808293,0,0,0,0,0.25238795,0,0,0.34469789,0.77303212
22300098,PHI,0.7044677,0.75433333,0,0.54244786,0,0.44690604,0.36614173,0,0,0.51155611,0.61209593,1,0.55487805,0.15686275,0.34090909,0.42682927,0,1,0.42857143,0.54347826,0.11340206,0.2,0.08695652,0,0,BOS,0.69294991,0.71264847,0.73046742,0.68804452,0.38716119,0.50915888,0.50334313,0.73214223,0,0,0
22300159,PHI,0.79206043,0.76746667,0,0.55684292,0,0,0.22691482,0,0.58706803,0.37313308,0.77824122,1,0.48947368,0.13861386,0.27777778,0.13684211,0,1,0.42857143,0.45394737,0.15,0.16666667,0.35526316,0,0,BOS,0.72105751,0.77793985,0.79355169,0,0.29101801,0.5686729,0.72527553,0.46582589,0.54310345,0,0.11263678
22300174,BOS,0.69186736,0.50966667,0.60401617,0.62685205,0.49415323,0.42207792,0.51574803,0.67240114,0.19731177,0,0.09975669,1,0.63372093,0.13541667,0.18604651,0.09302326,0,1,0,0.52298851,0.11214953,0.1509434,0.35632184,0,0.42857143,PHI,0.5275201,0,0,0.42733627,0,0,0.36847906,0,0.46975453,0.46064871,0.6611366
22300180,PHI,0.79575246,0.71333333,0,0,0,0,0.32426628,0,0.74693923,0.4308302,0.68474105,1,0.57142857,0.12121212,0.52830189,0.16190476,0,1,0.42857143,0.775,0.11827957,0.27586207,0.2375,0,0,BOS,0.59616574,0.60672362,0.55817127,0.56554146,0.51436601,0.27588785,0.49595885,0.43187949,0.41277031,0,0.07165549
22300188,BOS,0.80100261,0.62206667,0.69509595,0.77627976,0.3906586,0.4908327,0.4670723,0.81581737,0,0,0,1,0.62658228,0.12941176,0.28205128,0.18987342,0,1,0,0.56790123,0.11827957,0.17073171,0.16049383,0,0.42857143,PHI,0,0,0,0.78941266,0,0,0.92542248,0,0.56757744,0.88692065,0